"schedule_date","schedule_season","schedule_week","team_home","team_away","stadium","team_favorite_id","over_under_line","weather_detail","weather_temperature","weather_wind_mph","weather_humidity","score_home","score_away","stadium_neutral","schedule_playoff","game_id","homeFav","scoreFavMinDog","line","Error","ErrMag","scoretotal","OUError"
"10/19/1980",1980,7,"WAS","ARI","RFK Memorial Stadium","WAS",39,"",66,9,"74",23,0,FALSE,FALSE,"19801019ARIWAS",1,23,4,19,19,23,-16
"10/20/1980",1980,7,"PIT","OAK","Three Rivers Stadium","PIT",45,"",42,12,"71",34,45,FALSE,FALSE,"19801020OAKPIT",1,-11,10,-21,21,79,34
"10/26/1980",1980,8,"ATL","LAR","Atlanta-Fulton County Stadium","LAR",43,"",48,11,"64",13,10,FALSE,FALSE,"19801026LARATL",0,-3,3,-6,6,23,-20
"10/26/1980",1980,8,"IND","ARI","Memorial Stadium (Baltimore)","IND",41,"",45,24,"47",10,17,FALSE,FALSE,"19801026ARIIND",1,-7,8,-15,15,27,-14
"10/26/1980",1980,8,"BUF","NE","Ralph Wilson Stadium","NE",42,"",41,26,"71",31,13,FALSE,FALSE,"19801026NEBUF",0,-18,2,-20,20,44,2
"10/26/1980",1980,8,"CLE","PIT","Cleveland Municipal Stadium","PIT",44,"",37,25,"54",27,26,FALSE,FALSE,"19801026PITCLE",0,-1,3,-4,4,53,9
"10/26/1980",1980,8,"DAL","LAC","Texas Stadium","DAL",45,"",55,9,"59",42,31,FALSE,FALSE,"19801026LACDAL",1,11,2,9,9,73,28
"10/26/1980",1980,8,"GB","MIN","Lambeau Field","GB",36,"",35,16,"54",16,3,FALSE,FALSE,"19801026MINGB",1,13,1,12,12,19,-17
"10/26/1980",1980,8,"TEN","CIN","Houston Astrodome","TEN",35,"DOME",72,0,"",23,3,FALSE,FALSE,"19801026CINTEN",1,20,6,14,14,26,-9
"10/26/1980",1980,8,"KC","DET","Arrowhead Stadium","KC",40,"",37,10,"63",20,17,FALSE,FALSE,"19801026DETKC",1,3,3,0,0,37,-3
"10/26/1980",1980,8,"NYG","DEN","Giants Stadium","DEN",40,"",47,30,"62",9,14,FALSE,FALSE,"19801026DENNYG",0,5,6,-1,1,23,-17
"10/26/1980",1980,8,"OAK","SEA","Oakland Coliseum","OAK",44,"",57,7,"82",33,14,FALSE,FALSE,"19801026SEAOAK",1,19,4,15,15,47,3
"10/26/1980",1980,8,"PHI","CHI","Veterans Stadium","PHI",34,"",45,21,"60",17,14,FALSE,FALSE,"19801026CHIPHI",1,3,7,-4,4,31,-3
"10/26/1980",1980,8,"SF","TB","Candlestick Park","TB",45,"",56,11,"72",23,24,FALSE,FALSE,"19801026TBSF",0,1,2,-1,1,47,2
"10/26/1980",1980,8,"WAS","NO","RFK Memorial Stadium","WAS",38,"",49,21,"43",22,14,FALSE,FALSE,"19801026NOWAS",1,8,10,-2,2,36,-2
"10/27/1980",1980,8,"NYJ","MIA","Giants Stadium","NYJ",37,"",47,21,"52",17,14,FALSE,FALSE,"19801027MIANYJ",1,3,1,2,2,31,-6
"11/02/1980",1980,9,"BUF","ATL","Ralph Wilson Stadium","BUF",41,"",40,9,"59",14,30,FALSE,FALSE,"19801102ATLBUF",1,-16,4,-20,20,44,3
"11/02/1980",1980,9,"CIN","LAC","Cinergy Field","LAC",43,"",42,6,"58",14,31,FALSE,FALSE,"19801102LACCIN",0,17,3,14,14,45,2
"11/02/1980",1980,9,"DEN","TEN","Mile High Stadium","TEN",37,"",54,11,"21",16,20,FALSE,FALSE,"19801102TENDEN",0,4,4,0,0,36,-1
"11/02/1980",1980,9,"DET","SF","Pontiac Silverdome","DET",42,"DOME",72,0,"",17,13,FALSE,FALSE,"19801102SFDET",1,4,9,-5,5,30,-12
