"schedule_date","schedule_season","schedule_week","team_home","team_away","stadium","team_favorite_id","over_under_line","weather_detail","score_home","score_away","stadium_neutral","schedule_playoff","game_id","homeFav","scoreFavMinDog","line","Error","whocovered","scoretotal","OUError","which_hit"
"10/21/2001",2001,6,"WAS","CAR","FedExField","CAR",36,"",17,14,FALSE,FALSE,"20011021CARWAS",0,-3,3.5,-6.5,"Underdog",31,-5,"Under"
"10/22/2001",2001,6,"NYG","PHI","Giants Stadium","NYG",35.5,"",9,10,FALSE,FALSE,"20011022PHINYG",1,-1,3,-4,"Underdog",19,-16.5,"Under"
"10/25/2001",2001,7,"KC","IND","Arrowhead Stadium","IND",47.5,"",28,35,FALSE,FALSE,"20011025INDKC",0,7,3,4,"Favorite",63,15.5,"Over"
"10/28/2001",2001,7,"BAL","JAX","M&T Bank Stadium","BAL",33,"",18,17,FALSE,FALSE,"20011028JAXBAL",1,1,7.5,-6.5,"Underdog",35,2,"Over"
"10/28/2001",2001,7,"CAR","NYJ","Bank of America Stadium","NYJ",39,"",12,13,FALSE,FALSE,"20011028NYJCAR",0,1,2.5,-1.5,"Underdog",25,-14,"Under"
"10/28/2001",2001,7,"CHI","SF","Soldier Field","CHI",39,"",37,31,FALSE,FALSE,"20011028SFCHI",1,6,2,4,"Favorite",68,29,"Over"
"10/28/2001",2001,7,"DAL","ARI","Texas Stadium","ARI",38,"",17,3,FALSE,FALSE,"20011028ARIDAL",0,-14,3,-17,"Underdog",20,-18,"Under"
"10/28/2001",2001,7,"DEN","NE","Sports Authority Field at Mile High","DEN",43,"",31,20,FALSE,FALSE,"20011028NEDEN",1,11,7,4,"Favorite",51,8,"Over"
"10/28/2001",2001,7,"DET","CIN","Pontiac Silverdome","DET",39.5,"DOME",27,31,FALSE,FALSE,"20011028CINDET",1,-4,3,-7,"Underdog",58,18.5,"Over"
"10/28/2001",2001,7,"PHI","OAK","Veterans Stadium","PHI",39,"",10,20,FALSE,FALSE,"20011028OAKPHI",1,-10,1,-11,"Underdog",30,-9,"Under"
"10/28/2001",2001,7,"LAC","BUF","Qualcomm Stadium","LAC",39,"",27,24,FALSE,FALSE,"20011028BUFLAC",1,3,7.5,-4.5,"Underdog",51,12,"Over"
"10/28/2001",2001,7,"SEA","MIA","Husky Stadium","MIA",36.5,"",20,24,FALSE,FALSE,"20011028MIASEA",0,4,2.5,1.5,"Favorite",44,7.5,"Over"
"10/28/2001",2001,7,"LAR","NO","Edward Jones Dome","LAR",48.5,"DOME",31,34,FALSE,FALSE,"20011028NOLAR",1,-3,12,-15,"Underdog",65,16.5,"Over"
"10/28/2001",2001,7,"TB","MIN","Raymond James Stadium","TB",38.5,"",41,14,FALSE,FALSE,"20011028MINTB",1,27,3,24,"Favorite",55,16.5,"Over"
"10/28/2001",2001,7,"WAS","NYG","FedExField","NYG",33.5,"",35,21,FALSE,FALSE,"20011028NYGWAS",0,-14,7.5,-21.5,"Underdog",56,22.5,"Over"
"10/29/2001",2001,7,"PIT","TEN","Heinz Field","PIT",36,"",34,7,FALSE,FALSE,"20011029TENPIT",1,27,3,24,"Favorite",41,5,"Over"
"11/04/2001",2001,8,"ARI","PHI","University of Phoenix Stadium","PHI",39.5,"",7,21,FALSE,FALSE,"20011104PHIARI",0,14,7,7,"Favorite",28,-11.5,"Under"
"11/04/2001",2001,8,"ATL","NE","Georgia Dome","ATL",42.5,"DOME",10,24,FALSE,FALSE,"20011104NEATL",1,-14,3,-17,"Underdog",34,-8.5,"Under"
"11/04/2001",2001,8,"BUF","IND","Ralph Wilson Stadium","IND",44.5,"",14,30,FALSE,FALSE,"20011104INDBUF",0,16,3,13,"Favorite",44,-0.5,"Under"
"11/04/2001",2001,8,"CHI","CLE","Soldier Field","CHI",34,"",27,21,FALSE,FALSE,"20011104CLECHI",1,6,4.5,1.5,"Favorite",48,14,"Over"
"11/04/2001",2001,8,"GB","TB","Lambeau Field","GB",37,"",21,20,FALSE,FALSE,"20011104TBGB",1,1,5,-4,"Underdog",41,4,"Over"
"11/04/2001",2001,8,"MIA","CAR","Sun Life Stadium","MIA",34.5,"",23,6,FALSE,FALSE,"20011104CARMIA",1,17,10,7,"Favorite",29,-5.5,"Under"
"11/04/2001",2001,8,"NO","NYJ","Louisiana Superdome","NO",42.5,"DOME",9,16,FALSE,FALSE,"20011104NYJNO",1,-7,6.5,-13.5,"Underdog",25,-17.5,"Under"
"11/04/2001",2001,8,"NYG","DAL","Giants Stadium","NYG",35.5,"",27,24,FALSE,FALSE,"20011104DALNYG",1,3,10.5,-7.5,"Underdog",51,15.5,"Over"
"11/04/2001",2001,8,"PIT","BAL","Heinz Field","PIT",33,"",10,13,FALSE,FALSE,"20011104BALPIT",1,-3,2,-5,"Underdog",23,-10,"Under"
"11/04/2001",2001,8,"LAC","KC","Qualcomm Stadium","LAC",41,"",20,25,FALSE,FALSE,"20011104KCLAC",1,-5,5.5,-10.5,"Underdog",45,4,"Over"
"11/04/2001",2001,8,"SF","DET","Candlestick Park","SF",47,"",21,13,FALSE,FALSE,"20011104DETSF",1,8,8.5,-0.5,"Underdog",34,-13,"Under"
"11/04/2001",2001,8,"TEN","JAX","Nissan Stadium","TEN",37.5,"",28,24,FALSE,FALSE,"20011104JAXTEN",1,4,3,1,"Favorite",52,14.5,"Over"
"11/04/2001",2001,8,"WAS","SEA","FedExField","SEA",37,"",27,14,FALSE,FALSE,"20011104SEAWAS",0,-13,2.5,-15.5,"Underdog",41,4,"Over"
"11/05/2001",2001,8,"OAK","DEN","Oakland Coliseum","OAK",45.5,"",38,28,FALSE,FALSE,"20011105DENOAK",1,10,5.5,4.5,"Favorite",66,20.5,"Over"
"11/11/2001",2001,9,"ARI","NYG","University of Phoenix Stadium","NYG",37.5,"",10,17,FALSE,FALSE,"20011111NYGARI",0,7,5.5,1.5,"Favorite",27,-10.5,"Under"
"11/11/2001",2001,9,"ATL","DAL","Georgia Dome","ATL",37,"DOME",20,13,FALSE,FALSE,"20011111DALATL",1,7,6,1,"Favorite",33,-4,"Under"
"11/11/2001",2001,9,"CHI","GB","Soldier Field","GB",37.5,"",12,20,FALSE,FALSE,"20011111GBCHI",0,8,2.5,5.5,"Favorite",32,-5.5,"Under"
"11/11/2001",2001,9,"CLE","PIT","FirstEnergy Stadium","PIT",33,"",12,15,FALSE,FALSE,"20011111PITCLE",0,3,3,0,"Push",27,-6,"Under"
"11/11/2001",2001,9,"DEN","LAC","Sports Authority Field at Mile High","DEN",45,"",26,16,FALSE,FALSE,"20011111LACDEN",1,10,5.5,4.5,"Favorite",42,-3,"Under"
"11/11/2001",2001,9,"DET","TB","Pontiac Silverdome","TB",40,"DOME",17,20,FALSE,FALSE,"20011111TBDET",0,3,5,-2,"Underdog",37,-3,"Under"
"11/11/2001",2001,9,"IND","MIA","RCA Dome","IND",44,"DOME",24,27,FALSE,FALSE,"20011111MIAIND",1,-3,3,-6,"Underdog",51,7,"Over"
"11/11/2001",2001,9,"JAX","CIN","EverBank Field","JAX",39.5,"",30,13,FALSE,FALSE,"20011111CINJAX",1,17,4,13,"Favorite",43,3.5,"Over"
"11/11/2001",2001,9,"NE","BUF","Foxboro Stadium","NE",40,"",21,11,FALSE,FALSE,"20011111BUFNE",1,10,6,4,"Favorite",32,-8,"Under"
"11/11/2001",2001,9,"NYJ","KC","Giants Stadium","NYJ",40.5,"",27,7,FALSE,FALSE,"20011111KCNYJ",1,20,4.5,15.5,"Favorite",34,-6.5,"Under"
"11/11/2001",2001,9,"PHI","MIN","Veterans Stadium","PHI",41,"",48,17,FALSE,FALSE,"20011111MINPHI",1,31,4.5,26.5,"Favorite",65,24,"Over"
"11/11/2001",2001,9,"SF","NO","Candlestick Park","SF",45,"",28,27,FALSE,FALSE,"20011111NOSF",1,1,3,-2,"Underdog",55,10,"Over"
"11/11/2001",2001,9,"SEA","OAK","Husky Stadium","OAK",43.5,"",34,27,FALSE,FALSE,"20011111OAKSEA",0,-7,6,-13,"Underdog",61,17.5,"Over"
"11/11/2001",2001,9,"LAR","CAR","Edward Jones Dome","LAR",47,"DOME",48,14,FALSE,FALSE,"20011111CARLAR",1,34,18,16,"Favorite",62,15,"Over"
"11/12/2001",2001,9,"TEN","BAL","Nissan Stadium","BAL",35,"",10,16,FALSE,FALSE,"20011112BALTEN",0,6,1.5,4.5,"Favorite",26,-9,"Under"
"11/18/2001",2001,10,"ARI","DET","University of Phoenix Stadium","ARI",39.5,"",45,38,FALSE,FALSE,"20011118DETARI",1,7,2,5,"Favorite",83,43.5,"Over"
"11/18/2001",2001,10,"BAL","CLE","M&T Bank Stadium","BAL",33,"",17,27,FALSE,FALSE,"20011118CLEBAL",1,-10,8,-18,"Underdog",44,11,"Over"
